Crop Name,Soil Type,Climate Requirements,Watering Frequency,Fertilizer Type,Pest Control Methods,Harvest Time (Days),Yield per Acre (kg),Market Price (USD/ton)
Onion,Sandy Loam,"Moderate, Dry",Daily,Organic Compost,Neem Spray,147,3151,435
Cotton,Clay Loam,"Moderate, Dry",Weekly,Potassium-rich,Crop Rotation,108,4976,463
Potato,Clayey,"Moderate, Dry",Every 3 Days,Organic Compost,Manual Removal,60,2872,498
Rice,Sandy Loam,"Warm, Moderate",Every 3 Days,Organic Compost,Pesticide Spray,70,3088,581
Rice,Clay Loam,"Cool, Moist",Twice a Week,Phosphorus-rich,Biological Control,149,3906,534
Maize,Sandy Loam,"Cool, Dry",Daily,Potassium-rich,Pesticide Spray,116,3334,234
Rice,Sandy Loam,"Cool, Moist",Every 3 Days,NPK Mix,Pesticide Spray,74,5897,209
Rice,Clay Loam,"Cool, Dry",Weekly,Nitrogen-based,Biological Control,105,4257,279
Sugarcane,Clayey,"Warm, Humid",Every 3 Days,Organic Compost,Biological Control,119,4518,314
Sugarcane,Loamy,"Cool, Moist",Every 2 Days,Potassium-rich,Crop Rotation,75,4416,507
Tomato,Clayey,"Cool, Dry",Twice a Week,Organic Compost,Biological Control,158,2556,219
Potato,Loamy,"Moderate, Dry",Weekly,NPK Mix,Biological Control,97,4993,150
Wheat,Loamy,"Warm, Humid",Twice a Week,Organic Compost,Neem Spray,180,5698,168
Potato,Sandy,"Warm, Moderate",Twice a Week,Phosphorus-rich,Neem Spray,92,5896,449
Wheat,Loamy,"Cool, Moist",Every 2 Days,Organic Compost,Pesticide Spray,169,5417,382
Sugarcane,Sandy,"Warm, Moderate",Twice a Week,NPK Mix,Manual Removal,99,5015,390
Rice,Clayey,"Warm, Moderate",Weekly,Nitrogen-based,Pesticide Spray,112,2516,164
Tomato,Sandy Loam,"Warm, Moderate",Weekly,Phosphorus-rich,Manual Removal,102,5593,471
Maize,Sandy Loam,"Cool, Dry",Daily,Phosphorus-rich,Biological Control,61,4477,484
Rice,Clay Loam,"Cool, Dry",Twice a Week,Nitrogen-based,Crop Rotation,132,4960,214
Barley,Clay Loam,"Warm, Moderate",Every 3 Days,NPK Mix,Biological Control,170,3568,510
Wheat,Sandy Loam,"Cool, Dry",Weekly,Organic Compost,Biological Control,155,4664,249
Wheat,Sandy,"Warm, Moderate",Every 2 Days,Phosphorus-rich,Manual Removal,176,3937,413
Cotton,Sandy,"Warm, Moderate",Every 2 Days,Phosphorus-rich,Neem Spray,78,4217,554
Wheat,Clayey,"Cool, Moist",Weekly,Nitrogen-based,Manual Removal,92,3573,380
Maize,Sandy,"Warm, Moderate",Every 3 Days,NPK Mix,Biological Control,122,3635,289
Onion,Clay Loam,"Warm, Humid",Daily,Phosphorus-rich,Neem Spray,62,4287,440
Tomato,Clayey,"Moderate, Dry",Twice a Week,NPK Mix,Biological Control,103,3688,559
Sugarcane,Clayey,"Warm, Humid",Every 3 Days,Potassium-rich,Crop Rotation,165,5372,564
Wheat,Clayey,"Cool, Moist",Every 3 Days,Organic Compost,Crop Rotation,101,5767,592
Cotton,Loamy,"Cool, Moist",Twice a Week,Nitrogen-based,Manual Removal,159,3986,550
Sugarcane,Sandy Loam,"Warm, Humid",Daily,Phosphorus-rich,Manual Removal,135,5116,303
Rice,Loamy,"Moderate, Dry",Every 2 Days,Organic Compost,Manual Removal,88,3217,229
Maize,Sandy,"Moderate, Dry",Daily,Phosphorus-rich,Pesticide Spray,170,5113,503
Tomato,Sandy,"Cool, Dry",Every 3 Days,Nitrogen-based,Pesticide Spray,77,3894,186
Tomato,Loamy,"Cool, Dry",Daily,Potassium-rich,Crop Rotation,120,3639,216
Wheat,Sandy Loam,"Cool, Moist",Twice a Week,Organic Compost,Neem Spray,140,2273,534
Barley,Sandy Loam,"Cool, Dry",Every 3 Days,Phosphorus-rich,Neem Spray,136,3453,498
Barley,Sandy Loam,"Warm, Moderate",Twice a Week,NPK Mix,Pesticide Spray,165,5327,198
Rice,Clay Loam,"Cool, Dry",Weekly,Nitrogen-based,Biological Control,176,3642,451
Cotton,Sandy Loam,"Warm, Humid",Weekly,NPK Mix,Crop Rotation,138,2175,453
Potato,Sandy,"Cool, Moist",Daily,Phosphorus-rich,Crop Rotation,141,4681,164
Potato,Sandy,"Warm, Humid",Every 2 Days,NPK Mix,Biological Control,106,5750,336
Sugarcane,Loamy,"Warm, Moderate",Twice a Week,NPK Mix,Neem Spray,84,5346,562
Onion,Loamy,"Warm, Moderate",Weekly,NPK Mix,Manual Removal,155,4708,471
Sugarcane,Clayey,"Cool, Moist",Daily,Nitrogen-based,Manual Removal,171,5583,216
Wheat,Sandy,"Cool, Moist",Weekly,Organic Compost,Crop Rotation,95,3057,597
Maize,Clay Loam,"Cool, Dry",Every 2 Days,Phosphorus-rich,Neem Spray,86,4864,369
